Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
10:10.0,30/06/2024,01/07/2024,Hotel St. James,5,1,8.68,0.6454507089401917,-1.0687453549379913,-0.025877153019072244,10.0,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
11:00.4,30/06/2024,02/07/2024,Hotel St. James,5,2,8.68,0.6454507089401917,-0.9274236551114802,0.04778246394684514,10.05586592178771,0,0,0,1,23,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
11:49.7,30/06/2024,03/07/2024,Hotel St. James,5,3,8.68,0.6454507089401917,-0.7331063178500271,0.14599528656806832,9.947643979057592,0,0,0,1,33,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
12:40.0,30/06/2024,04/07/2024,Hotel St. James,5,4,8.68,0.6454507089401917,-0.7154411053717132,0.16236409033827218,10.362694300518134,0,0,0,1,40,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
13:28.9,30/06/2024,05/07/2024,Hotel St. James,5,5,8.68,0.6454507089401917,-0.4151324932403768,0.31786772615520886,10.37735849056604,0,0,0,1,52,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
14:16.8,01/07/2024,02/07/2024,Hotel St. James,6,1,8.68,0.6454507089401917,-0.7861019552849688,0.12144208091276253,10.106382978723405,0,0,0,1,27,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
15:06.4,01/07/2024,03/07/2024,Hotel St. James,6,2,8.68,0.6454507089401917,-0.6447802554584576,0.1951016978786799,10.152284263959393,0,0,0,1,43,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
16:00.7,01/07/2024,04/07/2024,Hotel St. James,6,3,8.68,0.6454507089401917,-0.6447802554584576,0.1951016978786799,10.152284263959393,0,0,0,1,35,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
16:11.4,01/07/2024,04/07/2024,Doxie Hotel,6,3,8.770833048042908,-1.5601496710241656,-0.9627540800681079,-1.4172254734864005,0.0,1,0,0,0,292,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
16:54.2,01/07/2024,05/07/2024,Hotel St. James,6,4,8.68,0.6454507089401917,-0.27381079341386555,0.3833429412360243,10.0,0,0,0,1,53,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
18:35.6,02/07/2024,03/07/2024,Hotel St. James,7,1,8.68,0.6454507089401917,-0.6447802554584576,0.1951016978786799,10.152284263959393,0,0,0,1,32,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
19:25.6,02/07/2024,04/07/2024,Hotel St. James,7,2,8.68,0.6454507089401917,-0.6447802554584576,0.1951016978786799,10.152284263959393,0,0,0,1,36,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
20:19.8,02/07/2024,05/07/2024,Hotel St. James,7,3,8.68,0.6454507089401917,-0.1678195185439821,0.44063375443173786,10.13215859030837,0,0,0,1,43,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
22:05.1,02/07/2024,07/07/2024,31 Street Broadway Hotel,7,5,8.770833048042908,-1.5048098231856397,-2.3759710783332206,-1.4172254734864005,0.0,0,0,0,1,169,2.0,9.445408500330323,NoMad,3.0773219479474068,Downtown Manhattan
22:48.8,03/07/2024,04/07/2024,Hotel St. James,8,1,8.68,0.6454507089401917,-0.7861019552849688,0.12144208091276253,10.106382978723405,0,0,0,1,14,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
27:08.3,04/07/2024,05/07/2024,Hotel St. James,9,1,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,42,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
27:17.5,04/07/2024,05/07/2024,Doxie Hotel,9,1,8.770833048042908,-1.5601496710241656,-0.07949345615241259,-1.4172254734864005,0.0,1,0,0,0,234,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
33:49.9,05/07/2024,09/07/2024,Doxie Hotel,10,4,8.770833048042908,-1.5601496710241656,-0.20314994350060994,-1.4172254734864005,0.0,0,0,0,0,232,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
