Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category,full_price,checkin,checkout,checkin_day,checkout_day,checkin_day_name_Friday,checkin_day_name_Monday,checkin_day_name_Saturday,checkin_day_name_Sunday,checkin_day_name_Thursday,checkin_day_name_Tuesday,checkin_day_name_Wednesday,checkin_day_name_nan,checkout_day_name_Friday,checkout_day_name_Monday,checkout_day_name_Saturday,checkout_day_name_Sunday,checkout_day_name_Thursday,checkout_day_name_Tuesday,checkout_day_name_Wednesday,checkout_day_name_nan,period_of_the_month_beginning of the month,period_of_the_month_end of the month,period_of_the_month_middle of the month
2024-07-13 07:32:00,29/06/2024,02/07/2024,Hotel St. James,4,3,8.68,0.5989045191990552,0.5072842624050942,0.7091331042303298,10.30534351145038,0,0,0,1,71,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.2532888556143747,2024-07-17 07:32:00,2024-07-20 07:32:00,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 08:21:54,29/06/2024,03/07/2024,Hotel St. James,4,4,8.68,0.5989045191990552,0.1636673693628775,0.5770818011782026,10.121457489878544,0,0,0,1,68,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.8110998281934467,2024-07-17 08:21:54,2024-07-21 08:21:54,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 08:29:48,29/06/2024,03/07/2024,Doxie Hotel,4,4,8.770833048042908,-1.671399365582747,-0.8407512410682172,-1.5973629890801584,0.0,1,0,0,0,247,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.34778142473979123,2024-07-17 08:29:48,2024-07-21 08:29:48,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 09:28:54,29/06/2024,04/07/2024,Doxie Hotel,4,5,8.770833048042908,-1.671399365582747,-0.9729115845459928,-1.5973629890801584,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.832436859931444,2024-07-17 09:28:54,2024-07-22 09:28:54,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 10:10:00,30/06/2024,01/07/2024,Hotel St. James,5,1,8.68,0.5989045191990552,-1.660145370630426,-0.10078155448938353,10.0,0,0,0,1,9,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.4292885042962686,2024-07-18 10:10:00,2024-07-19 10:10:00,18.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 11:00:24,30/06/2024,02/07/2024,Hotel St. James,5,2,8.68,0.5989045191990552,-1.4486888210659852,-0.021550772658107224,10.05586592178771,0,0,0,1,23,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.9141515951931913,2024-07-18 11:00:24,2024-07-20 11:00:24,18.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 11:49:42,30/06/2024,03/07/2024,Hotel St. James,5,3,8.68,0.5989045191990552,-1.1579360654148787,0.08409026978359453,9.947643979057592,0,0,0,1,33,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.3228110013115521,2024-07-18 11:49:42,2024-07-21 11:49:42,18.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 12:40:00,30/06/2024,04/07/2024,Hotel St. James,5,4,8.68,0.5989045191990552,-1.1315039967193237,0.10169711019054481,10.362694300518134,0,0,0,1,40,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.2136629395295226,2024-07-18 12:40:00,2024-07-22 12:40:00,18.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 13:28:54,30/06/2024,05/07/2024,Hotel St. James,5,5,8.68,0.5989045191990552,-0.6821588288948864,0.26896209405657256,10.37735849056604,0,0,0,1,52,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.00008496644428,2024-07-18 13:28:54,2024-07-23 13:28:54,18.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 14:16:48,01/07/2024,02/07/2024,Hotel St. James,6,1,8.68,0.5989045191990552,-1.237232271501544,0.05768000917316909,10.106382978723405,0,0,0,1,27,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.3805181460379892,2024-07-19 14:16:48,2024-07-20 14:16:48,19.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
