score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
8.28,1454.0,3.0,9.306447036569988,1.6,0.0,0.0,7.7,1998.0,3.0,9.335996215193298,1.6,0.0,0.0,-0.5799999999999992,544.0,0.0,0.004939580286320299,0.0,0.0,0.0,43.0,110.0
8.787778736517721,1000.0,4.0,9.322012578616352,7.3,1.0,0.0,7.9,1164.0,4.0,9.335996215193298,7.3,0.0,1.0,-0.8877787365177205,164.0,0.0,0.004939580286320299,0.0,-1.0,1.0,69.0,30.0
8.08,1001.0,4.0,9.445408500330323,5.8,1.0,0.0,7.5,706.0,4.0,9.335996215193298,5.8,1.0,1.0,-0.5800000000000001,-295.0,0.0,0.004939580286320299,0.0,0.0,1.0,212.0,128.0
8.88,2020.0,4.0,8.5,7.0,1.0,0.0,8.2,3735.0,4.0,8.5,7.0,1.0,0.0,-0.6800000000000015,1715.0,0.0,0.0,0.0,0.0,0.0,5.0,101.0
8.68,1727.0,4.0,9.445408500330323,9.8,1.0,0.0,8.0,1325.0,4.0,9.335996215193298,9.8,1.0,0.0,-0.6799999999999997,-402.0,0.0,0.004939580286320299,0.0,0.0,0.0,188.0,26.0
8.68,279.0,3.0,9.5,2.9,0.0,0.0,8.0,1819.0,3.0,9.5,2.9,0.0,0.0,-0.6799999999999997,1540.0,0.0,0.0,0.0,0.0,0.0,165.0,25.0
8.787778736517721,1010.0,4.0,9.322012578616352,2.5,0.0,0.0,7.3,2600.0,4.0,9.335996215193298,2.5,1.0,0.0,-1.487778736517721,1590.0,0.0,0.004939580286320299,0.0,1.0,0.0,87.0,70.0
8.74974922398301,851.0,2.0,9.306447036569988,3.6,1.0,0.0,6.1,1535.0,2.0,9.335996215193298,3.6,1.0,0.0,-2.64974922398301,684.0,0.0,0.004939580286320299,0.0,0.0,0.0,157.0,6.0
8.68,1386.0,4.0,9.306447036569988,2.2,0.0,0.0,8.0,1843.0,4.0,9.335996215193298,2.2,0.0,0.0,-0.6799999999999997,457.0,0.0,0.004939580286320299,0.0,0.0,0.0,151.0,85.0
8.68,638.0,4.0,9.306447036569988,5.8,0.0,0.0,8.0,1708.0,4.0,9.335996215193298,5.8,0.0,0.0,-0.6799999999999997,1070.0,0.0,0.004939580286320299,0.0,0.0,0.0,177.0,124.0
8.68,1002.0,4.0,9.322012578616352,6.7,0.0,0.0,8.1,1451.0,4.0,9.335996215193298,6.7,0.0,0.0,-0.5800000000000001,449.0,0.0,0.004939580286320299,0.0,0.0,0.0,53.0,93.0
8.74974922398301,851.0,2.0,9.306447036569988,3.6,1.0,0.0,6.1,1535.0,2.0,9.335996215193298,3.6,1.0,0.0,-2.64974922398301,684.0,0.0,0.004939580286320299,0.0,0.0,0.0,175.0,7.0
8.88,1517.0,3.0,9.4,2.1,1.0,0.0,8.1,11716.0,3.0,9.4,2.1,1.0,0.0,-0.7800000000000011,10199.0,0.0,0.0,0.0,0.0,0.0,43.0,38.0
8.28,888.0,3.0,9.4,3.6,1.0,0.0,7.9,1737.0,3.0,9.4,3.6,1.0,0.0,-0.379999999999999,849.0,0.0,0.0,0.0,0.0,0.0,73.0,129.0
9.29,1003.0,4.0,9.322012578616352,2.0,0.0,0.0,8.5,1444.0,4.0,9.335996215193298,2.0,0.0,0.0,-0.7899999999999991,441.0,0.0,0.004939580286320299,0.0,0.0,0.0,75.0,119.0
8.68,1012.0,4.0,9.4,0.35,0.0,0.0,7.9,962.0,4.0,9.5,0.35,0.0,0.0,-0.7799999999999994,-50.0,0.0,0.09999999999999964,0.0,0.0,0.0,143.0,124.0
8.787778736517721,3608.0,4.0,9.322012578616352,0.4,1.0,0.0,6.8,4520.0,4.0,9.335996215193298,0.4,0.0,0.0,-1.987778736517721,912.0,0.0,0.004939580286320299,0.0,-1.0,0.0,21.0,151.0
8.770833048042908,1001.0,4.0,9.445408500330323,7.3,0.0,0.0,7.9,1190.0,4.0,9.335996215193298,7.3,0.0,0.0,-0.8708330480429076,189.0,0.0,0.004939580286320299,0.0,0.0,0.0,242.0,46.0
9.29,1490.0,4.0,9.6,0.9,1.0,0.0,8.6,3900.0,4.0,8.8,0.9,1.0,0.0,-0.6899999999999995,2410.0,0.0,-0.7999999999999989,0.0,0.0,0.0,237.0,143.0
8.787778736517721,1336.0,4.0,9.322012578616352,1.4,1.0,0.0,7.2,2146.0,4.0,9.335996215193298,1.4,1.0,0.0,-1.5877787365177207,810.0,0.0,0.004939580286320299,0.0,0.0,0.0,236.0,90.0
8.787778736517721,1005.0,3.0,9.4,0.25,1.0,0.0,7.3,1241.0,3.0,9.4,0.25,1.0,0.0,-1.487778736517721,236.0,0.0,0.0,0.0,0.0,0.0,147.0,84.0
8.88,1506.0,3.0,9.4,2.1,0.0,0.0,8.1,11540.0,3.0,9.4,2.1,0.0,0.0,-0.7800000000000011,10034.0,0.0,0.0,0.0,0.0,0.0,175.0,100.0
8.08,1220.0,4.0,9.322012578616352,0.4,1.0,0.0,7.5,1250.0,4.0,9.335996215193298,0.4,1.0,0.0,-0.5800000000000001,30.0,0.0,0.004939580286320299,0.0,0.0,0.0,146.0,73.0
8.28,1004.0,4.0,9.322012578616352,2.5,1.0,0.0,7.9,1725.0,4.0,9.335996215193298,2.5,0.0,0.0,-0.379999999999999,721.0,0.0,0.004939580286320299,0.0,-1.0,0.0,100.0,129.0
8.787778736517721,1002.0,3.0,9.322012578616352,3.4,0.0,0.0,6.7,1077.0,3.0,9.335996215193298,3.4,0.0,0.0,-2.0877787365177207,75.0,0.0,0.004939580286320299,0.0,0.0,0.0,53.0,33.0
8.68,1060.0,4.0,9.445408500330323,1.8,1.0,0.0,7.8,1816.0,4.0,9.335996215193298,1.8,0.0,0.0,-0.8799999999999999,756.0,0.0,0.004939580286320299,0.0,-1.0,0.0,16.0,148.0
9.29,535.0,4.0,9.4,2.6,0.0,0.0,8.4,509.0,4.0,9.4,2.6,0.0,0.0,-0.8899999999999988,-26.0,0.0,0.0,0.0,0.0,0.0,75.0,153.0
8.88,4218.0,3.0,9.3,1.4,1.0,0.0,8.1,22366.0,3.0,9.3,1.4,0.0,0.0,-0.7800000000000011,18148.0,0.0,0.0,0.0,-1.0,0.0,106.0,21.0
